id,name,album,Era,release_date,track_number,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,Eras Tour
1,The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,17,spotify:track:62E2nR0od0M5HYxuYLaDz7,0.707,0.527,0.27,0,0.102,-10.855,0.038,154.042,0.23,79,238857,Surprise Song
2,imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,18,spotify:track:1kcwpPDQnqEqmezzXdJTCP,0.608,0.784,0.391,0,0.252,-9.471,0.0633,110.007,0.15,81,222072,Surprise Song
3,The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,19,spotify:track:4EF6IyONolQy0bIQXm2EmX,0.655,0.352,0.479,0,0.0935,-8.942,0.0583,172.013,0.292,77,183878,Surprise Song
4,Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,20,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,0.78,0.516,0.451,0,0.105,-8.552,0.0446,70.266,0.218,77,213281,Surprise Song
5,How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,21,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,0.785,0.492,0.379,0.00093,0.108,-8.859,0.0257,83.993,0.273,80,238706,Surprise Song
6,So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,22,spotify:track:7Mts0OfPorF4iwOomvfqn1,0.0274,0.366,0.866,3.07E-06,0.106,-4.514,0.0466,176.07,0.293,82,228800,Set List
7,I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,23,spotify:track:3hlGuz3loYoLfI3bpwieWq,0.717,0.485,0.562,0,0.357,-7.197,0.0346,105.953,0.297,78,243875,Surprise Song
8,thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,24,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,0.609,0.609,0.541,0,0.122,-8.013,0.0346,95.997,0.252,76,263817,Surprise Song
9,I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,25,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,0.69,0.763,0.274,0,0.164,-11.429,0.0738,90.796,0.385,76,131907,Surprise Song
10,The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Tortured Poets Department,4/19/2024,26,spotify:track:18WFFUIsewmA8g31KAeo3e,0.825,0.421,0.525,2.67E-06,0.308,-10.359,0.0472,167.927,0.535,81,249807,Surprise Song
